customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100018,Female,1,Yes,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer,19.88,199.21,Yes
C100019,Male,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,122.97,3349.9,No
C100020,Female,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,19.25,460.52,Yes
C100021,Male,0,Yes,No,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,57.57,2854.67,Yes
C100022,Female,1,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card,100.14,6187.83,No
C100023,Female,1,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,37.79,1995.78,Yes
C100024,Female,1,Yes,No,37,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card,103.6,3849.05,Yes
C100025,Female,0,Yes,No,64,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,62.13,4004.97,Yes
C100026,Female,1,No,Yes,17,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,70.6,1239.67,Yes
C100027,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,55.42,3459.91,Yes
C100028,Female,0,No,No,50,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,36.49,1873.34,Yes
C100029,Female,0,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.89,747.39,Yes
C100030,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.18,972.37,Yes
C100031,Male,0,Yes,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,86.22,3279.52,Yes
C100032,Female,0,No,No,54,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,94.5,5060.82,Yes
C100033,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.28,2184.7,No
C100034,Female,0,Yes,Yes,43,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card,81.17,3438.95,No
C100035,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.24,6109.93,No
C100036,Female,0,Yes,No,32,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,76.58,2575.6,No
C100037,Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.95,1247.08,Yes
C100038,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,75.03,2525.47,Yes
C100039,Male,0,No,No,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,18.0,278.55,Yes
C100040,Male,0,Yes,No,19,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card,75.66,1505.9,Yes
C100041,Male,0,No,No,11,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,30.97,373.83,Yes
C100042,Female,0,Yes,Yes,61,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,64.92,3966.85,No
C100043,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,51.8,811.63,No
C100044,Female,1,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card,65.82,4062.18,No
C100045,Female,0,No,No,24,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,18.0,332.84,Yes
C100046,Female,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.52,988.3,Yes
C100047,Male,0,Yes,No,20,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,91.68,1842.87,Yes
C100048,Female,1,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,35.03,803.55,No
C100049,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,23.5,285.5,Yes
C100050,Male,1,Yes,Yes,63,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,37.05,2350.78,No
C100051,Female,0,No,No,49,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer,86.62,4326.34,No
C100052,Male,1,Yes,Yes,61,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,62.37,3782.38,No
C100053,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,58.22,2864.21,No
C100054,Male,1,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,59.85,789.29,Yes
C100055,Female,0,No,No,0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,44.23,5.5,Yes
C100056,Female,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,74.33,1813.61,Yes
C100057,Male,0,Yes,Yes,58,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,109.82,6373.29,Yes
C100058,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,37.52,2686.71,Yes
C100059,Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,83.08,5600.12,Yes
C100060,Male,1,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,62.73,135.4,Yes
C100061,Male,1,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,62.49,1100.08,Yes
C100062,Male,0,No,No,22,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,105.69,2353.77,Yes
C100063,Male,0,No,No,8,No,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,94.06,779.59,No
C100064,Male,0,No,No,49,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,64.62,3143.68,No
C100065,Female,0,Yes,Yes,15,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,92.22,1395.0,No
C100066,Female,0,Yes,No,32,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,18.0,556.39,Yes
C100067,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,18.0,11.3,No
C100068,Female,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,43.27,625.62,Yes
C100069,Female,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,34.19,-32.5,Yes
C100070,Female,0,No,No,57,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,57.11,3349.61,No
C100071,Female,0,No,No,15,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,98.6,1487.7,Yes
C100072,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,58.1,2773.54,No
C100073,Female,0,Yes,Yes,43,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.56,4073.15,Yes
C100074,Male,1,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,91.89,1080.88,Yes
C100075,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,18.0,423.19,Yes
C100076,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,85.95,4592.23,No
C100077,Female,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card,99.98,1392.96,No
C100078,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,102.07,7269.84,No
C100079,Female,1,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,62.04,2120.18,Yes
C100080,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,67.73,13.48,Yes
C100081,Female,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,69.69,1938.4,No
C100082,Male,0,Yes,No,71,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer,63.18,4456.73,Yes
C100083,Female,1,No,Yes,22,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,34.61,694.26,Yes
C100084,Male,1,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,41.44,2831.23,Yes
C100085,Male,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.22,1101.24,Yes
C100086,Female,0,Yes,No,62,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.51,3924.18,Yes
C100087,Male,0,Yes,Yes,64,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.09,4372.56,Yes
C100088,Female,1,No,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.84,6631.49,No
C100089,Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,68.36,4301.83,No
C100090,Female,1,No,Yes,63,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,31.81,1961.75,No
C100091,Female,0,No,Yes,31,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,132.28,4164.76,Yes
C100092,Female,0,Yes,No,12,No,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,57.14,705.57,Yes
C100093,Female,0,No,Yes,65,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,55.41,3551.37,No
C100094,Female,0,Yes,Yes,18,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.65,1406.86,Yes
C100095,Female,0,No,No,23,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,61.87,1413.19,Yes
C100096,Female,0,No,No,10,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,64.25,701.92,No
C100097,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,49.04,2809.18,Yes
C100098,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,95.24,1260.75,Yes
C100099,Male,0,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.64,874.75,Yes
C100100,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card,120.69,4821.49,No
C100101,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card,125.11,3262.61,No
C100102,Female,1,No,No,59,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,18.0,1088.69,No
C100103,Female,1,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.44,4404.42,Yes
C100104,Female,1,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,30.63,821.84,No
C100105,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.76,6793.73,Yes
C100106,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer,75.84,1264.68,Yes
C100107,Female,0,Yes,Yes,43,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,44.26,1899.13,No
C100108,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,32.07,303.96,Yes
C100109,Male,0,No,No,62,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card,46.52,2904.03,Yes
C100110,Female,0,No,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,42.02,1984.2,Yes
C100111,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,106.06,3983.13,Yes
C100112,Female,0,No,No,69,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,68.3,4642.69,No
C100113,Female,0,Yes,No,52,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,36.3,1936.53,No
C100114,Male,0,Yes,Yes,43,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,78.89,3412.66,Yes
C100115,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.35,4172.18,Yes
C100116,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.35,1178.0,Yes
C100117,Female,1,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,103.8,3149.18,Yes
C100118,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card,84.12,549.14,No
C100119,Male,0,Yes,Yes,57,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card,81.73,4664.22,Yes
C100120,Female,1,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,18.0,213.09,Yes
C100121,Male,1,Yes,No,9,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer,56.99,481.36,No
C100122,Female,1,Yes,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,87.04,3308.11,Yes
C100123,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer,78.51,2137.82,No
C100124,Male,0,No,No,29,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.97,2013.66,Yes
C100125,Female,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,88.17,3157.57,No
C100126,Female,0,No,No,66,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,81.06,5303.47,No
C100127,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,91.71,3873.4,No
C100128,Female,0,No,No,51,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.38,4145.62,Yes
C100129,Female,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,90.4,5002.11,No
C100130,Female,0,No,No,67,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.9,5947.91,Yes
C100131,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,67.49,605.7,Yes
C100132,Male,0,No,Yes,22,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,69.07,1517.83,No
C100133,Male,0,No,Yes,62,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,72.33,4521.97,Yes
C100134,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,32.67,1988.21,Yes
C100135,Male,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,23.66,848.1,Yes
C100136,Male,1,No,No,43,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,85.11,3664.74,Yes
C100137,Male,0,No,Yes,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,86.72,2101.72,No
C100138,Male,0,No,No,50,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,69.23,3434.4,No
C100139,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,80.67,4677.85,Yes
C100140,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.69,2920.71,No
C100141,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,83.07,1223.59,No
C100142,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,86.82,1828.49,Yes
C100143,Female,0,No,No,56,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,31.12,1694.82,Yes
C100144,Female,0,Yes,No,61,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card,119.37,7329.09,No
C100145,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.7,5531.74,Yes
C100146,Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,98.07,6988.12,Yes
C100147,Male,0,No,No,69,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,87.54,6136.68,Yes
C100148,Male,1,No,No,29,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.08,1105.98,Yes
C100149,Female,1,No,Yes,22,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,49.41,1109.29,No
C100150,Male,0,No,No,31,No,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.25,1611.99,No
C100151,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,104.47,5857.42,Yes
C100152,Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,41.12,283.31,No
C100153,Male,0,Yes,No,30,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,32.41,989.54,Yes
C100154,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card,82.88,5779.82,No
C100155,Female,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,122.58,936.11,Yes
C100156,Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,44.75,535.13,No
C100157,Female,1,Yes,No,57,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,113.01,6313.97,No
C100158,Male,1,No,No,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,92.39,137.04,Yes
C100159,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,57.35,2073.44,Yes
C100160,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,30.32,599.92,No
C100161,Male,0,Yes,Yes,63,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card,59.88,3753.62,Yes
C100162,Female,0,Yes,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,46.27,2383.4,Yes
C100163,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card,106.01,3556.29,Yes
C100164,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer,69.0,2433.5,No
C100165,Male,0,No,No,14,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,84.44,1184.71,No
C100166,Female,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer,84.63,418.67,No
C100167,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,50.8,1599.91,Yes
C100168,Male,0,No,Yes,51,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,72.17,3689.49,Yes
C100169,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,100.04,2698.63,No
C100170,Female,0,No,No,63,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card,67.72,4302.37,No
C100171,Male,1,Yes,No,18,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,62.03,1151.8,Yes
C100172,Male,0,Yes,Yes,14,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,90.71,1278.81,No
C100173,Female,0,Yes,Yes,5,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,30.99,281.43,Yes
C100174,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,18.0,767.21,No
C100175,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card,78.64,1999.67,No
C100176,Male,0,No,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.73,5100.3,Yes
C100177,Male,0,No,Yes,52,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,124.05,6422.76,Yes
C100178,Male,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,75.89,4181.34,Yes
C100179,Male,0,No,No,58,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card,94.73,5536.76,No
C100180,Male,1,Yes,No,69,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,109.54,7633.9,No
C100181,Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,70.94,3997.74,Yes
C100182,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card,50.76,582.13,No
C100183,Male,1,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,47.68,2012.42,Yes
C100184,Male,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer,61.16,3140.17,No
C100185,Male,1,No,No,18,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,113.48,2052.41,Yes
C100186,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,97.97,2022.93,Yes
C100187,Male,0,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,63.44,1457.06,No
C100188,Male,0,No,No,25,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer,107.37,2726.67,No
C100189,Female,0,No,Yes,44,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,83.58,3628.95,Yes
C100190,Male,0,Yes,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,63.49,1682.43,Yes
